"","op_code","site_full","type","geog","date","bruv","ten_min","subclass","family","common","number"
"1","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Serranidae","Barred sand bass",0
"2","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Embiotocidae","Barred surfperch",0
"3","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Elasmobranchii","Myliobatidae","Bat ray",0
"4","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Sciaenidae","Black croaker",0
"5","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Embiotocidae","Black perch",0
"6","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Embiotocidae","Calico surfperch",0
"7","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Sciaenidae","California corbina",0
"8","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Paralichthyidae","California halibut",0
"9","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Muraenidae","California moray",0
"10","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Labridae","California sheephead",0
"11","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Invertebrate","Palinuridae","California spiny lobster ",0
"12","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Invertebrate","Cancridae","Crab",0
"13","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Elasmobranchii","Dasyatidae","Diamond stingray",0
"14","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Embiotocidae","Dwarf perch",0
"15","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Elasmobranchii","Triakidae","Grey smooth-hound",0
"16","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Kyphosidae","Halfmoon",0
"17","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Mammalia","Phocidae","Harbor seal",0
"18","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Elasmobranchii","Heterodontidae","Horn shark",0
"19","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Serranidae","Kelp bass",0
"20","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Elasmobranchii","Triakidae","Leopard shark",2
"21","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Invertebrate","Nassariidae","Nassa mud snail",0
"22","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Kyphosidae","Opaleye",0
"23","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Carangidae","Pacific jack mackerel",0
"24","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Paralichthyidae","Pacific sanddab",0
"25","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Embiotocidae","Pile perch",0
"26","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Invertebrate","Olividae","Purple olive shell",0
"27","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Sciaenidae","Queenfish",0
"28","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Embiotocidae","Rainbow surfperch",0
"29","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",10,"Actinopterygii","Labridae","Rock wrasse",0
